Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
EMPRISE BK,EMPRISE FC,410,65858,"WICHITA, KS",SNM,2535,2535,100,94,32,0,N
QUAD CITY B&TC,QCR HOLDS,411,2142155,"BETTENDORF, IA",SMB,2532,2532,100,94,4,0,N
COMMERCIAL BK OF CALIFORNIA,CBC BC,412,3189063,"IRVINE, CA",SNM,2532,2532,100,94,4,0,N
CITIZENS & FARMERS BK,C&F FC,413,928421,"WEST POINT, VA",SNM,2529,2529,100,94,31,0,N
AMERICAN BK NA,AMERICAN BK HOLDING CORP,414,807955,"CORPUS CHRISTI, TX",NAT,2515,2515,100,94,17,0,N
ORANGE B&TC,ORANGE COUNTY BC,415,176101,"MIDDLETOWN, NY",SMB,2510,2510,100,94,15,0,N
US CENTURY BK,USCB FNCL HOLDS,416,3146150,"MIAMI, FL",SNM,2503,2503,100,94,9,0,Y
CAPITAL BANK NA,CAPITAL BC,417,2808602,"ROCKVILLE, MD",NAT,2500,2500,100,94,6,0,N
WEST TX NB,FIRST WEST TX BSHRS,418,237066,"MIDLAND, TX",NAT,2493,2493,100,94,12,0,N
KS STATEBANK,MANHATTAN BC,419,160959,"MANHATTAN, KS",SNM,2461,2461,100,94,5,0,N
FIRST CITIZENS NB,FIRST CITIZENS BSHRS,420,133850,"DYERSBURG, TN",NAT,2457,2457,100,94,25,0,N
UNITED BK IA,IDA GROVE BSHRS,421,738040,"IDA GROVE, IA",SNM,2453,2453,100,94,35,0,N
BEVERLY B&TC NA,WINTRUST FC,422,3216017,"CHICAGO, IL",NAT,2452,2452,100,94,8,0,N
FIRST SAVINGS BK,FIRST SVG FNCL GR,423,785473,"JEFFERSONVILLE, IN",SMB,2450,2450,100,94,15,0,N
BRYANT BK,,424,3356191,"TUSCALOOSA, AL",SNM,2448,2448,100,94,19,0,N
FIRST NB,FIRST PARAGOULD BSHRS,425,42448,"PARAGOULD, AR",NAT,2443,2443,100,94,22,0,N
SUSSER BK,SBH MANAGER LLC,426,965789,"DALLAS, TX",SMB,2436,2436,100,94,9,0,N
ARMSTRONG BK,IRONHORSE FNCL GRP,427,470452,"MUSKOGEE, OK",SNM,2429,2429,100,94,27,0,N
PEOPLES BK,PEOPLES BC,428,455972,"BELLINGHAM, WA",SNM,2423,2423,100,94,22,0,N
EXTRACO BKS NA,EXTRACO CORP,429,537560,"TEMPLE, TX",NAT,2421,2421,100,94,14,0,N
TEXASBANK,TEXAS BANC FNCL CORP,430,232856,"BROWNWOOD, TX",SNM,2419,2419,100,94,15,0,N
SUNRISE BKS NA,DBA SUNRISE BKS,431,860053,"SAINT PAUL, MN",NAT,2416,2416,100,94,4,0,N
FCB BKS,FIRST CO BANCORP,432,1459717,"COLLINSVILLE, IL",SNM,2414,2414,100,94,18,0,N
VISTA BK,VISTA BSHRS,433,645465,"DALLAS, TX",SMB,2410,2410,100,94,19,0,N
ACNB BK,ACNB CORP,434,5210,"GETTYSBURG, PA",SNM,2403,2403,100,94,26,0,N
OPEN BK,OP BC,435,3357219,"LOS ANGELES, CA",SNM,2388,2388,100,94,10,0,N
MERIDIAN BK,MERIDIAN CORP,436,3271799,"MALVERN, PA",SNM,2386,2386,100,94,6,0,N
CALPRIVATE BK,PRIVATE BC OF AMER,437,3545258,"LA JOLLA, CA",SNM,2386,2386,100,94,5,0,N
INTERAUDI BK,,438,538802,"NEW YORK, NY",SNM,2377,2377,100,94,1,0,Y
GUARANTY BK,QCR HOLDS,439,3804535,"SPRINGFIELD, MO",SMB,2359,2359,100,94,13,0,N
SOMERSET TC,SOMERSET TR HC,440,212522,"SOMERSET, PA",SNM,2357,2357,100,94,46,0,N
BANK OF PRINCETON,PRINCETON BC,441,3595271,"PRINCETON, NJ",SNM,2344,2344,100,94,34,0,N
LCNB NB,LCNB CORP,442,785923,"LEBANON, OH",NAT,2343,2343,100,94,35,0,N
TRADITIONAL BK,TRADITIONAL BC,443,786210,"MOUNT STERLING, KY",SNM,2342,2342,100,94,19,0,N
HANOVER COMM BK,HANOVER BC,444,3793714,"GARDEN CITY PARK, NY",SNM,2327,2327,100,94,8,0,N
INB NA,ILLINOIS NAT BC,445,925037,"SPRINGFIELD, IL",NAT,2326,2326,100,94,12,0,N
TEXAS PTNRS BK,SOUTHWEST BSHRS,446,3548567,"SAN ANTONIO, TX",SNM,2315,2315,100,94,10,0,N
WESTERN ST BK,WESTERN ST AGY INC ESOP & TR,447,233554,"DEVILS LAKE, ND",SNM,2300,2300,100,94,9,0,N
AVIDBANK,AVIDBANK HOLD,448,3214059,"SAN JOSE, CA",SNM,2290,2290,100,94,0,0,N
FVCBANK,FVCBANKCORP,449,3614976,"FAIRFAX, VA",SMB,2288,2288,100,94,7,0,N
TEXAS FIRST BK,TEXAS INDEPENDENT BSHRS,450,473266,"TEXAS CITY, TX",SMB,2285,2285,100,94,26,0,N
COUNTRY CLUB BK,CCB FNCL CORP,451,625654,"KANSAS CITY, MO",SMB,2282,2282,100,94,21,0,N
WAYNE BK,NORWOOD FNCL CORP,452,59316,"HONESDALE, PA",SNM,2281,2281,100,94,28,0,N
EVANS BK NA,EVANS BC,453,292908,"ANGOLA, NY",NAT,2277,2277,100,94,17,0,N
JOHN MARSHALL BK,JOHN MARSHALL BC,454,3419416,"RESTON, VA",SMB,2271,2271,100,94,7,0,N
AMERICAN NB&TC,AMERIBANCSHARES,455,498362,"WICHITA FALLS, TX",NAT,2264,2264,100,94,10,0,N
FIRST FED BK,FIRST NORTHWEST BC,456,403179,"PORT ANGELES, WA",SNM,2241,2241,100,94,11,0,N
